comment,label
"Solo era un buen tipo, realmente... era. Pero sentí que tenía un doble personaje cuando se fue a casa para calificar. Sus expectativas y cómo se descalificaba los trabajos de sus estudiantes era simplemente injusto. De nuevo, gran tipo, evítalo en esta clase!!!",low
"Él es brillante en su campo, pero espera que sus estudiantes rindan a altos niveles, con expectativas poco realistas. Solo que me dieron una A, y fue después de una curva importante. Él se preocupa por sus estudiantes, pues le dedica mucho tiempo en clase, mientras que se desplaza dando consejos y respondiendo preguntas.",good
"Tiene un grado en filosofía, por lo que todos los trabajos que debes escribir están basados en filosofía. Si tu trabajo coincide con lo que él piensa, obtendrás una buena calificación. De lo contrario, la clase es aburrida y habla durante una hora sobre tonterías, pero es obligatorio asistir de lo contrario tu calificación bajará.",low
"La clase era extremadamente difícil, pero a pesar de todo, me convertí en una escritora con confianza. La gente aquí dice “solo puedes obtener una C en un trabajo” ¡MALO! Obtuve una A y una B. Solo tienes que estar en ello para ganar. Si quieres obtener una A, busca a un profesor diferente. Si quieres aprender, ve a Rand. Él hizo que el Eng. 110 fuera algo valioso.",good
"Recientemente terminé de tomar el curso 110 con Rand y fue el semestre más difícil de mi primer año. Él toma el curso de manera muy seria para un curso de 100. 80% de la clase es trabajo de papeles, así que pensarías que tienes el control de la calificación, ¿verdad? ¡Qué error! Él desangrará tu trabajo y te dará una mala calificación a pesar de tus esfuerzos. Trabajé duro para un C.",low
"Solo Steven Rand es una persona agradable y realmente interesante escucharle hablar. Siempre me inspira después de una conferencia. Sin embargo, nunca puedes esperar obtener nada más que una C. Puedes pensar que tu trabajo es perfecto, pero él lo desmantlará en segundos. Si no quieres poner 9 horas en un trabajo que te da una nota de 'media', busca a otro profesor.",low
Clase difícil,low
"Él corrigió una clase de 100 niveles como si todos fuéramos todos estudiantes de inglés de primer nivel en una clase de 300 o más. Nunca superamos un ""C"" en un trabajo. Fue a el centro de escritura para cada trabajo. Las instrucciones eran muy confusas y difícil de abordar con preguntas. No tome esta clase de él.",low
Trate los trabajos con cuidado para que sigas haciendo tu trabajo y los borradores. Las calificaciones de participación te ahorran tiempo a largo plazo. No te pierdas clase y trabaja. Ve al centro de tutoría y te ayuda mucho.,good
No tomes inglés 110 con Rand. No siento mejor por su estilo de calificación confuso.,low
"El punto final de Rand debe jubilarse antes de arruinar los GPAs de todos. Cree que conoce todo sobre inglés y piensa que es su trabajo hacer que los trabajos de ensayo sean necesarios acertijos. Responde preguntas con preguntas y le gusta hablar mal de los profesores de inglés de secundaria, odiando a los profesores de secundaria de forma irónica hace que la escuela sea como la escuela.",critical
No le dará tu trabajo una calificación de C. No importa si es bueno o no. Trabaja duro si quieres aprobar.,low
"La única buena parte de estos profesores en UND es que son los peores. Son un grader muy difícil y esperan mucho de los estudiantes de nivel de 100. Piensan que todos los trabajos deben ser obras maestras. No importa cuánto tiempo dediqué a un trabajo, nunca llegué a una calificación superior a una C. La única razón por la que recibí una B en la clase fue porque nunca falté a clase.",low
