text,label
Las evaluaciones son justas,normal
Las clases se vuelven monótonas,critico
Su comportamiento no es profesional,muy_critico
Se nota dominio del tema,normal
La evaluación no es clara,critico
Intimida cuando hacen preguntas,muy_critico
Cumple con los horarios,normal
Falta más compromiso con el curso,critico
Sus comentarios son ofensivos,muy_critico
Se nota dominio del tema,normal
La evaluación no es clara,critico
No debería seguir dictando esta materia,muy_critico
Tiene buena metodología de enseñanza,normal
Debería mejorar su metodología,critico
No debería seguir dictando esta materia,muy_critico
Responde las dudas,normal
Debería mejorar su metodología,critico
Falta total de respeto,muy_critico
Explica con ejemplos prácticos,normal
A veces explica muy rápido,critico
No debería seguir dictando esta materia,muy_critico
Tiene buena metodología de enseñanza,normal
No responde claramente las preguntas,critico
No debería seguir dictando esta materia,muy_critico
Cumple con los horarios,normal
Le falta organización,critico
Su comportamiento no es profesional,muy_critico
Las clases son claras y organizadas,normal
La evaluación no es clara,critico
Genera un ambiente incómodo,muy_critico
Explica con ejemplos prácticos,normal
No responde claramente las preguntas,critico
Su actitud debería ser revisada,muy_critico
Se nota dominio del tema,normal
No siempre llega preparado,critico
Su comportamiento no es profesional,muy_critico
Se nota dominio del tema,normal
Falta más compromiso con el curso,critico
Trata mal a los estudiantes,muy_critico
Se nota dominio del tema,normal
Debería mejorar su metodología,critico
Su actitud debería ser revisada,muy_critico
Se nota dominio del tema,normal
La evaluación no es clara,critico
Su actitud debería ser revisada,muy_critico
Mantiene un buen ambiente de clase,normal
Debería mejorar su metodología,critico
Abusa de su autoridad,muy_critico
Las evaluaciones son justas,normal
No siempre llega preparado,critico
Abusa de su autoridad,muy_critico
Las evaluaciones son justas,normal
A veces explica muy rápido,critico
No debería seguir dictando esta materia,muy_critico
Es respetuoso con los estudiantes,normal
No siempre llega preparado,critico
Falta total de respeto,muy_critico
Es respetuoso con los estudiantes,normal
Le falta organización,critico
Falta total de respeto,muy_critico
El profesor explica muy bien los temas,normal
No da buena retroalimentación,critico
Trata mal a los estudiantes,muy_critico
Mantiene un buen ambiente de clase,normal
Las clases se vuelven monótonas,critico
Su comportamiento no es profesional,muy_critico
